StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0.01716042945837673,arbuscular_mycorrhizal_richness_rf_VPS7_LP3_REGRESSION,0.4007715962741506,0.6114389521255479,0.5471423651792581,0.021808220907741677,0.03253920425902928
0.017314809024305853,arbuscular_mycorrhizal_richness_rf_VPS5_LP2_REGRESSION,0.4008373015329024,0.6114013695765118,0.5471329174473226,0.021641644996505255,0.033025083527921835
0.017791780471619528,arbuscular_mycorrhizal_richness_rf_VPS4_LP2_REGRESSION,0.401113824047078,0.6111955448546256,0.5473389740968088,0.022439184619367683,0.033055897632897444
0.017017628028239373,arbuscular_mycorrhizal_richness_rf_VPS7_LP2_REGRESSION,0.4007373660868866,0.611169889343935,0.5472447050694751,0.02136557279772414,0.03347546361034988
0.01766965397481494,arbuscular_mycorrhizal_richness_rf_VPS7_LP4_REGRESSION,0.40131644121662163,0.6111124324188222,0.5474432084665134,0.02255643703709075,0.03224458065462095
0.018093877257543443,arbuscular_mycorrhizal_richness_rf_VPS5_LP3_REGRESSION,0.40140017624917057,0.6109570886020632,0.5475122638403966,0.022140370562160443,0.03246887322743493
0.017741692762795875,arbuscular_mycorrhizal_richness_rf_VPS4_LP3_REGRESSION,0.40203024213022404,0.610642850254264,0.5477522580601316,0.02260385474515789,0.03280006660445551
0.01737134971443719,arbuscular_mycorrhizal_richness_rf_VPS6_LP3_REGRESSION,0.40121621679506364,0.6104994115985558,0.5477348965481733,0.02208492433813249,0.03416967863342329
0.018095613032460586,arbuscular_mycorrhizal_richness_rf_VPS6_LP4_REGRESSION,0.4019170109193525,0.6103480905900731,0.5479067311961144,0.02185371658538434,0.03271156816721271
0.016714116337889443,arbuscular_mycorrhizal_richness_rf_VPS6_LP2_REGRESSION,0.401164934390454,0.6102446413749252,0.547889609581915,0.02138797172288653,0.03361953016894194
0.017402090267439982,arbuscular_mycorrhizal_richness_rf_VPS3_LP2_REGRESSION,0.40247759296550434,0.609998546965979,0.5481658309119639,0.021502594345034792,0.03192305736748907
0.0183963598773301,arbuscular_mycorrhizal_richness_rf_VPS6_LP5_REGRESSION,0.40238904190709956,0.609742331249656,0.5484049141863174,0.021782726375744976,0.031202139912288217
0.01838494620970899,arbuscular_mycorrhizal_richness_rf_VPS7_LP5_REGRESSION,0.4022557110287046,0.609540885410112,0.5485785303751098,0.022507910170542766,0.03171933938459314
0.01893751878320732,arbuscular_mycorrhizal_richness_rf_VPS5_LP4_REGRESSION,0.4026651202645065,0.6095342726494453,0.5485654760726412,0.022576474584642937,0.032218754483927456
0.01873171843876119,arbuscular_mycorrhizal_richness_rf_VPS4_LP4_REGRESSION,0.40301539817665943,0.6088668719633932,0.5490871952859863,0.022872838783276495,0.03168241666513077
0.018497274984847937,arbuscular_mycorrhizal_richness_rf_VPS7_LP6_REGRESSION,0.40288628566469403,0.6086284060175927,0.5491968428207028,0.022421619122972577,0.03198137187454309
0.017597762547089016,arbuscular_mycorrhizal_richness_rf_VPS2_LP2_REGRESSION,0.40477939019777454,0.6084988301494132,0.5492213388428155,0.021612757331394398,0.03210581862030263
0.018582468882003943,arbuscular_mycorrhizal_richness_rf_VPS6_LP6_REGRESSION,0.4035867368367718,0.6082239856171265,0.5494374377705108,0.02150111593168871,0.03141168082900008
0.017813205997158105,arbuscular_mycorrhizal_richness_rf_VPS3_LP3_REGRESSION,0.40337754950222254,0.608059712669713,0.5495591658241109,0.021388221414174523,0.03125688969098322
0.01878713958658897,arbuscular_mycorrhizal_richness_rf_VPS5_LP5_REGRESSION,0.40344783182636235,0.6080405121530669,0.5496419282244376,0.022489572237891504,0.03146393383837058
0.018785449712063525,arbuscular_mycorrhizal_richness_rf_VPS3_LP4_REGRESSION,0.4046445701777698,0.6072682410566793,0.5501800889153201,0.021846219771260146,0.030609459980264306
0.019065973818466527,arbuscular_mycorrhizal_richness_rf_VPS4_LP5_REGRESSION,0.4045048778927812,0.6067719602830299,0.5505660574878186,0.02276817721318348,0.03140472817939914
0.018339566865618134,arbuscular_mycorrhizal_richness_rf_VPS7_LP7_REGRESSION,0.4042690815685506,0.6066102742621812,0.5506336139729353,0.02200459485055406,0.030965722806944818
0.018581474499275958,arbuscular_mycorrhizal_richness_rf_VPS6_LP7_REGRESSION,0.4047155800639713,0.6062822652641682,0.5508218654702646,0.022119682972727688,0.03189988643202444
0.018958818280818704,arbuscular_mycorrhizal_richness_rf_VPS5_LP6_REGRESSION,0.40486623311571296,0.6059599256382157,0.5511084409496702,0.02238103034000233,0.031178173017698426
0.01894107644252568,arbuscular_mycorrhizal_richness_rf_VPS2_LP3_REGRESSION,0.40776406078206007,0.6049000307866284,0.5517941052733869,0.02241949819933114,0.03248029157639754
0.018764542761803234,arbuscular_mycorrhizal_richness_rf_VPS5_LP7_REGRESSION,0.40627092457020764,0.6042415622876255,0.5523834866861425,0.022335741991531495,0.029636497782458773
0.018990929009436337,arbuscular_mycorrhizal_richness_rf_VPS4_LP6_REGRESSION,0.40659692138078424,0.6037418331336726,0.5527017584771882,0.02285342524777652,0.031176121042351738
0.01915876437354269,arbuscular_mycorrhizal_richness_rf_VPS3_LP5_REGRESSION,0.40693177047641493,0.6036322383894914,0.5528078170601707,0.02268063398363904,0.030345316613913924
0.01903962256743582,arbuscular_mycorrhizal_richness_rf_VPS4_LP7_REGRESSION,0.4084017111616256,0.6017719627886928,0.554119342359172,0.022594602525283263,0.029788597433867726
0.019299934947541505,arbuscular_mycorrhizal_richness_rf_VPS2_LP4_REGRESSION,0.4109039532409763,0.6003383329575521,0.5550538418713542,0.02283827836282191,0.03161278273534733
0.019489819725905615,arbuscular_mycorrhizal_richness_rf_VPS3_LP6_REGRESSION,0.4099381694565386,0.599814810312152,0.5555577895561173,0.02331047078988578,0.02958263287434881
0.01894315812163233,arbuscular_mycorrhizal_richness_rf_VPS3_LP7_REGRESSION,0.4118671427734412,0.5969474798993797,0.5575953631482874,0.023172303077619118,0.028185145683344532
0.01897224953567649,arbuscular_mycorrhizal_richness_rf_VPS2_LP5_REGRESSION,0.4140953439215619,0.5962666023720784,0.5580075681573065,0.023077204350097556,0.029369807418248097
0.01865735055328719,arbuscular_mycorrhizal_richness_rf_VPS2_LP6_REGRESSION,0.4179322429121397,0.590611440197742,0.5619285854072875,0.023246127659917352,0.02912985463903059
0.018883240527586973,arbuscular_mycorrhizal_richness_rf_VPS2_LP7_REGRESSION,0.4212694322215348,0.585342061225916,0.5655970412838449,0.023500464639057424,0.028209411620260735
