Mean_R2_Random,StDev_R2_Random,Mean_RMSE_Random,StDev_RMSE_Random,Mean_MAE_Random,StDev_MAE_Random,cName,Mean_R2_Spatial,StDev_R2_Spatial,Mean_RMSE_Spatial,StDev_RMSE_Spatial,Mean_MAE_Spatial,StDev_MAE_Spatial
0.603268464,0.01709006,0.901303757,0.025512081,0.663107569,0.018793624,ectomycorrhizal_richness_rf_VPS2_LP2_REGRESSION,0.072534072,0.119070841,1.341523638,0.141257219,1.110808013,0.144150445
0.593694804,0.014802187,0.912154901,0.022952867,0.677097302,0.017568106,ectomycorrhizal_richness_rf_VPS2_LP4_REGRESSION,0.072783195,0.108783292,1.342747351,0.145262203,1.112257449,0.148293704
0.578704413,0.014903043,0.928844084,0.023262055,0.692980518,0.018100474,ectomycorrhizal_richness_rf_VPS2_LP6_REGRESSION,0.06751259,0.113848132,1.347196077,0.154719672,1.117545347,0.161905818
0.565151423,0.014613912,0.94365744,0.022115169,0.707119762,0.017302684,ectomycorrhizal_richness_rf_VPS2_LP8_REGRESSION,0.062075582,0.11829018,1.349536382,0.143173641,1.122036414,0.150003305
0.552361232,0.013537878,0.957472624,0.021850476,0.720004718,0.017590155,ectomycorrhizal_richness_rf_VPS2_LP10_REGRESSION,0.061660916,0.112516924,1.350216319,0.140979699,1.12243323,0.14654585
0.541451317,0.013905728,0.969064977,0.021915093,0.730642824,0.017171743,ectomycorrhizal_richness_rf_VPS2_LP12_REGRESSION,0.053729653,0.110372668,1.356613765,0.147085202,1.12936669,0.154195601
0.611308084,0.01849739,0.892095064,0.027299869,0.654822253,0.019843702,ectomycorrhizal_richness_rf_VPS4_LP2_REGRESSION,0.0879362,0.136716809,1.329103697,0.144384833,1.093723852,0.15192714
0.60931194,0.016581917,0.89442673,0.025471697,0.660475832,0.019738376,ectomycorrhizal_richness_rf_VPS4_LP4_REGRESSION,0.09375697,0.133826237,1.325385892,0.146309916,1.093069003,0.152407891
0.600696494,0.016348237,0.904237592,0.024849806,0.670466655,0.019053566,ectomycorrhizal_richness_rf_VPS4_LP6_REGRESSION,0.084986331,0.128139075,1.332822682,0.152610173,1.099596004,0.161335978
0.591847396,0.015874273,0.914210545,0.024056333,0.679919942,0.018665409,ectomycorrhizal_richness_rf_VPS4_LP8_REGRESSION,0.0810899,0.126731173,1.335785461,0.151109196,1.105889292,0.159593818
0.583581538,0.015196201,0.923437015,0.023295383,0.688756095,0.018234803,ectomycorrhizal_richness_rf_VPS4_LP10_REGRESSION,0.08321134,0.128259689,1.333756463,0.148327602,1.103916853,0.156655215
0.575136182,0.015594547,0.932758185,0.023838242,0.697024154,0.018033631,ectomycorrhizal_richness_rf_VPS4_LP12_REGRESSION,0.092889695,0.121935605,1.326370673,0.139543923,1.094254542,0.147864878
0.615087745,0.017178356,0.887772589,0.025980303,0.651376459,0.019125424,ectomycorrhizal_richness_rf_VPS6_LP2_REGRESSION,0.110744442,0.122585919,1.313174002,0.140210757,1.078191678,0.148341288
0.616070847,0.016203892,0.886659535,0.025184495,0.654535066,0.019136862,ectomycorrhizal_richness_rf_VPS6_LP4_REGRESSION,0.097223993,0.12586797,1.32320152,0.143693548,1.086838246,0.150780763
0.609149929,0.016513175,0.894607336,0.025181855,0.662406399,0.019122134,ectomycorrhizal_richness_rf_VPS6_LP6_REGRESSION,0.100272597,0.136223729,1.320093593,0.145616606,1.082853519,0.151628482
0.601304857,0.016347776,0.903539861,0.024589957,0.670693779,0.019260277,ectomycorrhizal_richness_rf_VPS6_LP8_REGRESSION,0.101456953,0.127499653,1.319101493,0.134056217,1.083469698,0.141736428
0.594733143,0.016359218,0.910963598,0.024634748,0.677777953,0.018547872,ectomycorrhizal_richness_rf_VPS6_LP10_REGRESSION,0.102016382,0.135462059,1.319324622,0.149718749,1.087471714,0.155481737
0.587172513,0.016048523,0.919433812,0.024307416,0.685665837,0.018630589,ectomycorrhizal_richness_rf_VPS6_LP12_REGRESSION,0.096198543,0.13132876,1.323781689,0.14661811,1.089995744,0.153597454
0.616640227,0.017277641,0.885984236,0.026396195,0.64985168,0.019465767,ectomycorrhizal_richness_rf_VPS8_LP2_REGRESSION,0.119228597,0.125219174,1.306050718,0.134945929,1.069172994,0.14288558
0.618944824,0.016698137,0.883311477,0.025339981,0.651266258,0.019638265,ectomycorrhizal_richness_rf_VPS8_LP4_REGRESSION,0.109755312,0.130805431,1.313180428,0.140661367,1.077609788,0.146858929
0.614502553,0.015922076,0.888465898,0.024589466,0.657319839,0.019078147,ectomycorrhizal_richness_rf_VPS8_LP6_REGRESSION,0.110608574,0.135120051,1.31178333,0.138455001,1.075902526,0.144010585
0.60709631,0.016096335,0.896957775,0.024583579,0.665190244,0.018959273,ectomycorrhizal_richness_rf_VPS8_LP8_REGRESSION,0.112181089,0.131784558,1.311491374,0.143629712,1.075121602,0.149869952
0.600568083,0.015998283,0.904387216,0.024461216,0.672004045,0.018323631,ectomycorrhizal_richness_rf_VPS8_LP10_REGRESSION,0.105230306,0.13425502,1.31624956,0.140714182,1.081123774,0.148990686
0.594415592,0.01574019,0.911331699,0.024030666,0.678314305,0.018588716,ectomycorrhizal_richness_rf_VPS8_LP12_REGRESSION,0.105697312,0.132412176,1.316035879,0.141308322,1.08189055,0.149595729
0.61886943,0.017142003,0.883399036,0.026029398,0.647893827,0.01888758,ectomycorrhizal_richness_rf_VPS10_LP2_REGRESSION,0.121694578,0.130149629,1.303636673,0.132720162,1.067089455,0.140306785
0.620733153,0.016640581,0.881250434,0.025852473,0.649241047,0.019675267,ectomycorrhizal_richness_rf_VPS10_LP4_REGRESSION,0.111088037,0.128565858,1.312090825,0.137481444,1.076906938,0.146567003
0.617355134,0.016625817,0.885160536,0.025513519,0.654078537,0.019842357,ectomycorrhizal_richness_rf_VPS10_LP6_REGRESSION,0.128118067,0.130135389,1.298849522,0.133506403,1.062493873,0.14128619
0.611073769,0.016609128,0.892397709,0.025265297,0.661410738,0.018848897,ectomycorrhizal_richness_rf_VPS10_LP8_REGRESSION,0.117010063,0.127308892,1.30778028,0.136441523,1.072467121,0.145596713
0.604604781,0.015943224,0.899808038,0.024618268,0.667882945,0.018936198,ectomycorrhizal_richness_rf_VPS10_LP10_REGRESSION,0.114923773,0.137502251,1.308409902,0.138397868,1.07167332,0.146966829
0.599117614,0.016424669,0.906018142,0.024782929,0.673887835,0.018664477,ectomycorrhizal_richness_rf_VPS10_LP12_REGRESSION,0.112039931,0.133829952,1.311153782,0.141526667,1.076132825,0.148984578
0.62027566,0.017257422,0.881781068,0.02677694,0.646560073,0.019591036,ectomycorrhizal_richness_rf_VPS12_LP2_REGRESSION,0.124057198,0.120620721,1.302453397,0.12993902,1.063315711,0.135608512
0.622350259,0.016450474,0.879375687,0.025722394,0.647891552,0.019662104,ectomycorrhizal_richness_rf_VPS12_LP4_REGRESSION,0.121814524,0.122943767,1.304197373,0.132887607,1.065007733,0.138792566
0.618746429,0.015778766,0.883565217,0.024636749,0.652684559,0.018731679,ectomycorrhizal_richness_rf_VPS12_LP6_REGRESSION,0.114119307,0.130577498,1.309883563,0.140639626,1.073263305,0.148265162
0.614552352,0.015264168,0.888414238,0.02373624,0.657782707,0.018417152,ectomycorrhizal_richness_rf_VPS12_LP8_REGRESSION,0.119733147,0.133461323,1.304947731,0.135713691,1.067811263,0.141948612
0.608234251,0.016384959,0.895649874,0.024827588,0.664345371,0.018862693,ectomycorrhizal_richness_rf_VPS12_LP10_REGRESSION,0.114858124,0.126946773,1.309283338,0.135662452,1.072264083,0.141955386
0.602661218,0.015913496,0.902011412,0.024279409,0.670759857,0.018252792,ectomycorrhizal_richness_rf_VPS12_LP12_REGRESSION,0.110128349,0.139022815,1.311907533,0.140959915,1.076736228,0.149055024